"Observation station","Year","Month","Day","Time [Local time]","Maximum temperature [°C]","Minimum temperature [°C]"
"Helsinki Kumpula","2025","5","2","03:00","14.4","4.1"
"Helsinki Kumpula","2025","5","3","03:00","13.5","4.7"
"Helsinki Kumpula","2025","5","4","03:00","11.3","2.6"
"Helsinki Kumpula","2025","5","5","03:00","11.2","-1.4"
"Helsinki Kumpula","2025","5","6","03:00","9.1","4.1"
"Helsinki Kumpula","2025","5","7","03:00","7","0.5"
"Helsinki Kumpula","2025","5","8","03:00","7.7","1.6"
"Helsinki Kumpula","2025","5","9","03:00","10","2.9"
"Helsinki Kumpula","2025","5","10","03:00","12.6","1.2"
"Helsinki Kumpula","2025","5","11","03:00","12.9","5.1"
"Helsinki Kumpula","2025","5","12","03:00","16.9","4.6"
"Helsinki Kumpula","2025","5","13","03:00","15.9","4.2"
"Helsinki Kumpula","2025","5","14","03:00","13.7","5.5"
"Helsinki Kumpula","2025","5","15","03:00","14.3","4"
"Helsinki Kumpula","2025","5","16","03:00","20.2","7.9"
"Helsinki Kumpula","2025","5","17","03:00","15.2","7.1"
"Helsinki Kumpula","2025","5","18","03:00","19.9","8.1"
"Helsinki Kumpula","2025","5","19","03:00","18.5","11.5"
"Helsinki Kumpula","2025","5","20","03:00","20.4","7.4"
"Helsinki Kumpula","2025","5","21","03:00","16.5","5.1"
"Helsinki Kumpula","2025","5","22","03:00","16.1","9.6"
"Helsinki Kumpula","2025","5","23","03:00","13.8","9.2"
"Helsinki Kumpula","2025","5","24","03:00","13.4","7"
"Helsinki Kumpula","2025","5","25","03:00","17.1","6.8"
"Helsinki Kumpula","2025","5","26","03:00","16.4","9.6"
"Helsinki Kumpula","2025","5","27","03:00","19.1","9.7"
"Helsinki Kumpula","2025","5","28","03:00","18.7","9.3"
"Helsinki Kumpula","2025","5","29","03:00","18.7","11.4"
"Helsinki Kumpula","2025","5","30","03:00","19.5","12.3"
"Helsinki Kumpula","2025","5","31","03:00","18.1","9.9"
"Helsinki Kumpula","2025","6","1","03:00","20.9","7.7"
"Helsinki Kumpula","2025","6","2","03:00","15.4","10.1"
